GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	K_Tau	K_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval	K_FDR_Corrected_Pval
GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	K_Tau	K_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval	K_FDR_Corrected_Pval
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0004888	ARAT_AT4G15165.1_PACid_19648727, ARAT_AT3G22110.1_PACid_19663555	27	0.2544306757396522	0.0592897357817193	0.2209933408379871	0.0138831118684598	0.5583329739652352	0.0883190883190883	0.5352853283502016			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0004892	ARAT_AT5G19990.1_PACid_19667687, ARAT_AT5G20000.1_PACid_19669291	26	-0.048885671109616	0.0144028087445119	0.5592451122355597	0.1990532544378698	0.0223374396625893	-0.2923076923076923	0.037344025361578			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005148	ARAT_AT4G38630.1_PACid_19646282	26	1.1067794212741724	0.5547173615685752	1.277432765183308e-05	0.1208899408284023	0.081776452723512	0.2430769230769231	0.085582121044914			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005231	ARAT_AT5G09900.3_PACid_19665897, ARAT_AT5G64760.1_PACid_19668432	26	-0.0915170028192302	0.0118511894401657	0.596546791291265	0.0001123237636058	0.95901923428728	0.0338461538461538	0.8273014975871174			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005253	ARAT_AT1G21720.1_PACid_19649188, ARAT_AT1G77440.1_PACid_19656196	19	-0.1756207037731337	0.0381809175231317	0.4227404199804945	0.1954570637119114	0.0580567541676256	-0.3099415204678362	0.0683595086669991			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005471	ARAT_AT1G29150.1_PACid_19650043	27	-0.2067996339522218	0.041670368645247	0.307102150662686	0.0443619262300581	0.2916411968203087	-0.1566951566951567	0.2630541686635584			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005523	ARAT_AT3G51260.1_PACid_19664689, ARAT_AT5G66140.1_PACid_19672619	26	-0.1083525423832282	0.0078307615703095	0.6672873908374639	0.0015457666739718	0.8487699839770573	-0.0338461538461538	0.8273014975871174			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005774	ARAT_AT4G31300.2_PACid_19646330	20	-0.0817141112750245	0.006409658189341	0.7372284307049495	0.048201707275708	0.352345677311515	-0.1578947368421052	0.3513948581732795			
HOG0004140	ARAT_AT5G23540.1_PACid_19666107	HOG0005779	ARAT_AT2G20580.1_PACid_19641906, ARAT_AT4G28470.1_PACid_19645981	28	0.2825846454525608	0.0756725222851255	0.1565530959379023	0.0883329154095249	0.1245573016301345	0.2222222222222221	0.1013683702520773			
